date,action,price,position,pnl,capital,strength
2024-11-11,open_long,88701.484375,0.3294124927512872,0.0,146096.8853935405,1.0
2024-11-21,take_profit,98599.82366071429,0.3294124927512872,3260.6366182051397,149357.52201174563,
2024-11-21,open_long,98504.7265625,0.30324945253663577,0.0,149357.52201174563,1.0
2025-01-13,stop_loss,90204.30022321429,0.30324945253663577,-2517.0997432090635,146840.42226853658,
2025-01-17,open_long,104462.0390625,0.2811364273306621,0.0,146840.42226853658,1.0
2025-02-02,stop_loss,96983.27790178571,0.2811364273306621,-2102.552193582531,144737.87007495406,
2025-02-24,open_short,91418.171875,-0.3166501081926258,0.0,144737.87007495406,1.0
2025-02-26,take_profit,83487.13448660714,-0.3166501081926258,2511.3638471143577,147249.2339220684,
2025-02-26,open_short,84347.0234375,-0.34915099056501525,0.0,147249.2339220684,1.0
2025-03-02,stop_loss,90490.02678571429,-0.34915099056501525,-2144.8357040732244,145104.39821799519,
2025-04-06,open_short,78214.484375,-0.3710422676247303,0.0,145104.39821799519,1.0
2025-04-12,stop_loss,84562.62946428571,-0.3710422676247303,-2355.4301491393658,142748.96806885581,
2025-04-25,open_long,94720.5,0.30141092597453734,0.0,142748.96806885581,1.0
2025-05-08,take_profit,102480.56584821429,0.30141092597453734,2338.9686329336528,145087.93670178947,
2025-05-08,open_long,103241.4609375,0.28106525301811136,0.0,145087.93670178947,1.0
2025-05-21,take_profit,110650.73270089286,0.28106525301811136,2082.488842857961,147170.42554464744,
2025-05-21,open_long,109678.078125,0.2683679875880346,0.0,147170.42554464744,1.0
2025-05-31,stop_loss,103379.47209821429,0.2683679875880346,-1690.3442240183474,145480.0813206291,
2025-07-09,open_long,111326.5546875,0.2613573764660193,0.0,145480.0813206291,1.0
2025-07-11,take_profit,117355.02790178571,0.2613573764660193,1575.585943381384,147055.6672640105,
2025-07-11,open_long,117516.9921875,0.25027132591920176,0.0,147055.6672640105,1.0
2025-08-02,stop_loss,112555.56026785714,0.25027132591920176,-1241.7041449868677,145813.96311902363,
2025-08-13,open_long,123344.0625,0.23643450712355712,0.0,145813.96311902363,1.0
2025-08-14,stop_loss,117847.2890625,0.23643450712355712,-1299.6269184651733,144514.33620055846,
2025-09-16,open_long,116843.1875,0.24736459059807567,0.0,144514.33620055846,1.0
2025-09-22,stop_loss,112668.40959821429,0.24736459059807567,-1032.6922265131154,143481.64397404535,
2025-10-01,open_long,118648.9296875,0.24185914588854746,0.0,143481.64397404535,1.0
2025-10-06,take_profit,125778.54854910714,0.24185914588854746,1724.363528379182,145206.00750242453,
2025-11-04,open_short,101590.5234375,-0.28586526102851995,0.0,145206.00750242453,1.0
2025-11-17,take_profit,91220.35379464286,-0.28586526102851995,2964.4712518653914,148170.4787542899,
2025-11-17,open_short,92093.875,-0.32178139698061337,0.0,148170.4787542899,1.0
2026-01-31,take_profit,78717.66852678571,-0.32178139698061337,4304.214405252018,152474.69315954193,
2026-01-31,open_short,78621.1171875,-0.38787211022685375,0.0,152474.69315954193,1.0
